"year";"venue";"countryname";"artist";"song";"runningOrder";"placed";"placedJury";"placedTelevote";"pointsJury";"pointsTelevote";"youtubeLink";"appleMusicLink";"spotifyLink"
1965;"Sala di Concerto della RAI";"Germany";"Ulla Wiesner";"Paradies, wo bist du?";5;14;14;NULL;0;NULL;"https://youtu.be/7fNKL8aEUDg?si=HJsA4O6uiuuqlkm2";NULL;NULL
1966;"Villa Louvigny";"Germany";"Margot Eskens";"Die Zeiger der Uhr";1;8;8;NULL;7;NULL;"https://youtu.be/v34kZImvabM?si=0fLs7nuOEUkuxUGB";NULL;NULL
1967;"Großer Festsaal der Wiener Hofburg";"Germany";"Inge Brück";"Anouschka";9;8;8;NULL;7;NULL;"https://youtu.be/15jOhZ_23s8?si=iJyKTfOmrEegNdcv";"https://music.apple.com/gb/album/anouschka/314023736?i=314024189";"https://open.spotify.com/track/6LhJIO58tpna7IKqxUmYRN?si=18ca25c65e1e4481"
1968;"Royal Albert Hall";"Germany";"Wencke Myhre";"Ein Hoch der Liebe";16;6;6;NULL;11;NULL;"https://youtu.be/SnDbsHRCkVc?si=MLF3vswMjyFRet7v";"https://music.apple.com/gb/album/ein-hoch-der-liebe/1522983738?i=1522983906";"https://open.spotify.com/track/1SlsyDG3PMLZ57fLzp5WVI?si=8beb8c64c02a4457"
1969;"Teatro Real";"Germany";"Siw Malmkvist";"Primaballerina";13;5;5;NULL;8;NULL;"https://youtu.be/6tvMWASrMrc?si=ifFBJ_kqvKInqpE0";"https://music.apple.com/gb/album/primaballerina/260709982?i=260710273";"https://open.spotify.com/track/5I0IiNSEy5ww523Wvmgrmc?si=937532a2d2774842"
1970;"RAI Congrescentrum";"Germany";"Katja Ebstein";"Wunder gibt es immer wieder";11;3;3;NULL;12;NULL;"https://youtu.be/smhpdO-2glM?si=keB-372GOI2Y0-64";"https://music.apple.com/gb/album/wunder-gibt-es-immer-wieder/258685451?i=258685496";"https://open.spotify.com/track/68pun2nSn33MONTnLYKgpm?si=f28bf740c95845f6"
1971;"Gaiety Theatre";"Germany";"Katja Ebstein";"Diese Welt";5;3;3;NULL;100;NULL;"https://youtu.be/pgrtTEGPSGk?si=5vMBJ8BwGr6rgY_j";NULL;NULL
1972;"Usher Hall";"Germany";"Mary Roos";"Nur die Liebe läßt uns leben";1;3;3;NULL;107;NULL;"https://youtu.be/NySfW4y2_m8?si=Hv6yVN5CUx7cXPEi";"https://music.apple.com/gb/album/nur-die-liebe-l%C3%A4sst-uns-leben/298239070?i=298239115";"https://open.spotify.com/track/7nlbJorq1OC3Gph4hCLyhY?si=f69630bc9ae34d64"
1973;"Théâtre Municipal";"Germany";"Gitte";"Junger Tag";4;8;8;NULL;85;NULL;"https://youtu.be/malRI0TNduU?si=LTR6dcZ2VqPbLhqG";"https://music.apple.com/gb/album/junger-tag/713191479?i=713192208";"https://open.spotify.com/track/1MFZ9Qn3D2Mq7CGBM20T0q?si=94d9ea11d60e4d64"
1974;"Brighton Dome";"Germany";"Cindy and Bert";"Die Sommermelodie";14;10;10;NULL;3;NULL;"https://youtu.be/6iFcnZnDnac?si=p3aqTe5hhTjKpJLD";NULL;NULL
1975;"St. Eriks Mässan";"Germany";"Joy Fleming";"Ein Lied kann eine Brücke sein";4;16;16;NULL;15;NULL;"https://youtu.be/JNMyE8HrLvE?si=i2wbG0vDLANV4zw4";"https://music.apple.com/gb/album/ein-lied-kann-eine-br%C3%BCcke-sein/1690149933?i=1690149934";"https://open.spotify.com/track/3QV9DSUJl1l4IuAat9T1dP?si=9c6388682b44489c"
1976;"Nederlands Congresgebouw";"Germany";"Les Humphries Singers";"Sing, Sang, Song";3;15;15;NULL;12;NULL;"https://youtu.be/MRvVH98vZqg?si=5fDnjAsrxEuMhcP6";"https://music.apple.com/gb/album/sing-sang-song/41297673?i=41297697";"https://open.spotify.com/track/6tcEvCEWNG6DstSfkc5rtS?si=7bf9e121dea94ead"
1977;"Wembley Conference Centre";"Germany";"Silver Convention";"Telegram";6;8;8;NULL;55;NULL;"https://youtu.be/8oW5mj_TBus?si=BEg_jTdrzOiIXMBT";"https://music.apple.com/gb/album/telegram/299235181?i=299235273";"https://open.spotify.com/track/72YL3BihTfLT3gfihtonfB?si=9b4de7e7b73d49ef"
1978;"Palais des Congrès";"Germany";"Ireen Sheer";"Feuer";13;6;6;NULL;84;NULL;"https://youtu.be/LZOPJThwLDI?si=rNePQ2f-KPWFyWqH";"https://music.apple.com/gb/album/feuer-remastered/713191479?i=713191745";"https://open.spotify.com/track/1bBZVweXaAyLI8FkuhoOyb?si=8bc7e98fb8984f22"
1979;"International Convention Center";"Germany";"Dschinghis Khan";"Dschinghis Khan";9;4;4;NULL;86;NULL;"https://youtu.be/xE2Z6eTOIRk?si=L_IKsRT3U_6sGqBR";"https://music.apple.com/gb/album/dschinghis-khan/253921720?i=253921794";"https://open.spotify.com/track/0ksebE6LrZocf2L5f4N1q7?si=46a603a1a5af4dbf"
1980;"Nederlands Congresgebouw";"Germany";"Katja Ebstein";"Theater";12;2;2;NULL;128;NULL;"https://youtu.be/o1RO3gzKGos?si=OLUQe1A4h92oXpNn";"https://music.apple.com/gb/album/theater/324446248?i=324446307";"https://open.spotify.com/track/1EYubOoZHizQkFymPSqDW3?si=4600295d9dff4710"
1981;"RDS Simmonscourt Pavilion";"Germany";"Lena Valaitis";"Johnny Blue";3;2;2;NULL;132;NULL;"https://youtu.be/keq4eze8eTo?si=VKwy-ARAt4uDlFIH";"https://music.apple.com/gb/album/johnny-blue/313373619?i=313373704";"https://open.spotify.com/track/5e6KfjLDK12b19zGnHaDf4?si=dfcc440971894cc9"
1982;"Harrogate Conference Centre";"Germany";"Nicole";"Ein bißchen Frieden";18;1;1;NULL;161;NULL;"https://youtu.be/NrJCNHfSy9Q?si=XNSnEz74BtxCbS-l";"https://music.apple.com/gb/album/ein-bi%C3%9Fchen-frieden/313754786?i=313754903";"https://open.spotify.com/track/7MX0pfpBhdlArNgQINg7zV?si=21cfe1de4f9547c9"
1983;"Rudi-Sedlmayer-Halle";"Germany";"Hoffmann and Hoffmann";"Rücksicht";14;5;5;NULL;94;NULL;"https://youtu.be/8WsX-eBrjeU?si=k_YVquybpwKi8kF4";"https://music.apple.com/gb/album/r%C3%BCcksicht/1690135804?i=1690135805";"https://open.spotify.com/track/4RWtvWgiYDyZSoQXWS7Juz?si=d757bd849eed46c3"
1984;"Théâtre Municipal";"Germany";"Mary Roos";"Aufrecht geh'n";14;12;12;NULL;34;NULL;"https://youtu.be/ag3TeXJOGF4?si=GusjxN22G3tTlllu";"https://music.apple.com/gb/album/aufrecht-gehn/1371997069?i=1371997671";"https://open.spotify.com/track/3pRqUWkk4XmtpgfZa6gSYs?si=8e7dab0cb7ce449a"
1985;"Scandinavium";"Germany";"Wind";"Für alle";10;2;2;NULL;105;NULL;"https://youtu.be/8qNpxV9soRA?si=NkFlfZ5idjgMn0LQ";"https://music.apple.com/gb/album/f%C3%BCr-alle/1443427258?i=1443427495";"https://open.spotify.com/track/4UOhMulI76X6UpnflP1fs7?si=1164c86daf2a438d"
1986;"Grieghallen";"Germany";"Ingrid Peters";"Über die Brücke geh'n";14;8;8;NULL;62;NULL;"https://youtu.be/zV6UazeDW-Y?si=xMUdlUJQgxo1m8H9";"https://music.apple.com/gb/album/%C3%BCber-die-br%C3%BCcke-gehn/255640263?i=255641125";"https://open.spotify.com/track/5PqEpMztatLoNhi9zKzaH2?si=90f044ec3a6d4abd"
1987;"Palais de Centenaire";"Germany";"Wind";"Laß die Sonne in dein Herz";16;2;2;NULL;141;NULL;"https://youtu.be/1gaVdPccL3k?si=upx56dyQgRAikMJq";"https://music.apple.com/gb/album/la%C3%9F-die-sonne-in-dein-herz/1443427258?i=1443427391";"https://open.spotify.com/track/4QQm4aNOns2R0RMX85UfMK?si=2fadacf7561a49f4"
1988;"RDS Simmonscourt Pavilion";"Germany";"Maxi and Chris Garden";"Lied für einen Freund";11;13;13;NULL;48;NULL;"https://youtu.be/X43ydRHN2e0?si=8F3ptI7Ph9lOA97F";NULL;NULL
1989;"Palais de Beaulieu";"Germany";"Nino de Angelo";"Flieger";21;13;13;NULL;46;NULL;"https://youtu.be/Ztu3oggiKSk?si=S4kFyt6Zhmw8_cNw";"https://music.apple.com/gb/album/flieger/41255963?i=41256004";"https://open.spotify.com/track/1NykPmcn7onKXOX6epi4ag?si=6e1232aaa4174057"
1990;"Koncertna Dvorana Vatroslav Lisinski";"Germany";"Chris Kempers and Daniel Kovac";"Frei zu leben";13;8;8;NULL;60;NULL;"https://youtu.be/jgiyJK6exjg?si=XcE1T03YmV8T6L9L";"https://music.apple.com/gb/album/frei-zu-leben/255640263?i=255640888";"https://open.spotify.com/track/5SzEM0dxdFz8fMC5tBKyww?si=4db1a7e8fc3a49c4"
1991;"Studio 15 di Cinecittà";"Germany";"Atlantis 2000";"Dieser Traum darf niemals sterben";17;16;16;NULL;10;NULL;"https://youtu.be/GyOOxDtY6jg?si=8OiBRMKBW2XsKsVk";"https://music.apple.com/gb/album/dieser-traum-darf-niemals-sterben/255640263?i=255640505";"https://open.spotify.com/track/28MdY8BiGhDpzhhfUeTXCs?si=63ae7a5b1a9c4e5b"
1992;"Malmö Isstadion";"Germany";"Wind";"Träume sind für alle da";22;16;16;NULL;27;NULL;"https://youtu.be/6FIqHp0bzgQ?si=kwthYc1GENVcRxTP";"https://music.apple.com/gb/album/tr%C3%A4ume-sind-f%C3%BCr-alle-da/255640263?i=255641165";"https://open.spotify.com/track/6joXMIi35SRr6CajJzo5vB?si=6935e456fc814a82"
1993;"Green Glens Arena";"Germany";"Münchener Freiheit";"Viel zu weit";3;18;18;NULL;18;NULL;"https://youtu.be/2bxJgcEFfDw?si=QVw9nmFyiS9kH2sg";"https://music.apple.com/gb/album/viel-zu-weit/268481400?i=268481701";"https://open.spotify.com/track/1QNTz8wqlkeIOy5iNi80pT?si=55d339fcf27c4598"
1994;"Point Theatre";"Germany";"Mekado";"Wir geben 'ne Party";14;3;3;NULL;128;NULL;"https://youtu.be/jJ5a2RCmzOA?si=P5tPDOBP-DVcDRCw";"https://music.apple.com/gb/album/wir-geben-ne-party/313132795?i=313132941";"https://open.spotify.com/track/7xo2bkge23X5mUqG96Cn4n?si=a10880de572340d8"
1995;"Point Theatre";"Germany";"Stone and Stone";"Verliebt in Dich";3;22;22;NULL;1;NULL;"https://youtu.be/3jGi32Xqg8g?si=YgD-nTrhYEdcaznI";NULL;NULL
1997;"Point Theatre";"Germany";"Bianca Shomburg";"Zeit";11;17;17;10;14;8;"https://youtu.be/G9DeK9uhi4M?si=nvzsN-Rn3Wi1izx1";"https://music.apple.com/gb/album/zeit/255640263?i=255640953";"https://open.spotify.com/track/0znavBePBphLqzBjVJWDw8?si=4dc56280ae614091"
1998;"National Indoor Arena";"Germany";"Guildo Horn";"Guildo hat euch lieb";9;6;5;6;11;75;"https://youtu.be/jo_DyXn-9Bc?si=owLD8rE_H0GVf86L";"https://music.apple.com/gb/album/guildo-hat-euch-lieb-grand-prix-version/713843161?i=713843232";"https://open.spotify.com/track/6TU1XF376ykPceVnK24OOK?si=4857a27d3ac540f8"
1999;"International Convention Center";"Germany";"Sürpriz";"Journey to Jerusalem – Kudüs'e Seyahat";21;3;4;3;22;118;"https://youtu.be/pUcP3HWhmYo?si=QwmbZkRSxm8Lmyms";"https://music.apple.com/gb/album/reise-nach-jerusalem-kud%C3%BCse-seyahat/255640263?i=255640877";"https://open.spotify.com/track/0bzIaa3azbKw5CHX8bTQby?si=82dd487d94314156"
2000;"Globe Arena";"Germany";"Stefan Raab";"Wadde hadde dudde da?";15;5;4;5;20;76;"https://youtu.be/lddoHQIZQto?si=gOHE1zpK5Z37Msue";NULL;NULL
2001;"Parken Stadium";"Germany";"Michelle";"Wer Liebe lebt";19;8;8;8;15;51;"https://youtu.be/8BYoMsX-nAs?si=aefS6_zgIywrkDXW";"https://music.apple.com/gb/album/wer-liebe-lebt-grand-prix-version/724858088?i=724858517";"https://open.spotify.com/track/5IM7R4kdvVPUQ2bDhm9Yvp?si=d05f7d4152854d8d"
2002;"Saku Suurhall";"Germany";"Corinna May";"I Can't Live Without Music";18;17;15;18;9;8;"https://youtu.be/ZDSd_T_Sthk?si=slTJT9EgLxdQNR7c";"https://music.apple.com/gb/album/i-cant-live-without-music-grand-prix-version/471623147?i=471623292";"https://open.spotify.com/track/5IROAcwb8g7qrhpEukKMzM?si=bfd43011f6e946bf"
2003;"Skonto Olympic Hall";"Germany";"Lou";"Let's Get Happy";10;10;6;12;11;42;"https://youtu.be/OhBs4VasEzs?si=tnCU_4BVlbEFDSiS";"https://music.apple.com/gb/album/lets-get-happy/1539898186?i=1539898205";"https://open.spotify.com/track/2OVn1hxlocoVpph31ABHPj?si=ef6ceea4ec344b62"
2004;"Abdi İpekçi Arena";"Germany";"Max";"Can't Wait Until Tonight";8;7;NULL;7;NULL;93;"https://youtu.be/j6jSUb_RvXM?si=ftzLL_fMrYdR0mJC";"https://music.apple.com/gb/album/cant-wait-until-tonight/1688089429?i=1688090188";"https://open.spotify.com/track/4u7z06Xi0TdYbp6k6pOIRP?si=a4bc7a2ff28842fc"
2005;"Palace of Sports";"Germany";"Gracia";"Run & Hide";17;22;12;21;4;0;"https://youtu.be/HwcrRmxg6uY?si=4F5MRuVEcETs8MyK";"https://music.apple.com/gb/album/run-hide-radio-edit/41454037?i=41454029";"https://open.spotify.com/track/26egMCRkITBhtqGWkt1J8S?si=5287ea8d673c417a"
2006;"Olympic Indoor Hall";"Germany";"Texas Lightning";"No No Never";8;13;7;14;5;31;"https://youtu.be/IKvPzL1NSSI?si=z8idxdNvvUSTzONt";"https://music.apple.com/gb/album/no-no-never/1442894699?i=1442894710";"https://open.spotify.com/track/5EEiZp74udn1TOG6ty9Pq6?si=2f977c285c6040e4"
2007;"Hartwall Arena";"Germany";"Roger Cicero";"Frauen regier'n die Welt";16;19;2;19;11;38;"https://youtu.be/9PiGGv3asug?si=DRzRbotEXjWwBb6B";"https://music.apple.com/gb/album/frauen-regiern-die-welt/1185531374?i=1185531522";"https://open.spotify.com/track/1mPCxdc4hpJ8r2qPnyMYcW?si=951149d0bd214edc"
2008;"Belgrade Arena";"Germany";"No Angels";"Disappear";4;20;11;19;0;14;"https://youtu.be/bCk419FVaj8?si=OYLgkhKLH1ozcUMa";"https://music.apple.com/gb/album/disappear/1442523634?i=1442523639";"https://open.spotify.com/track/4DMBHcOKngWQ55YXXOtZKn?si=68a62fd084814051"
2009;"Olimpiysky Arena";"Germany";"Alex Swings Oscar Sings!";"Miss Kiss Kiss Bang";17;21;13;22;73;18;"https://youtu.be/veeOUiB6ojk?si=Q_6neoT-WbgHf7Hd";"https://music.apple.com/gb/album/miss-kiss-kiss-bang-radio-version/314811409?i=314811469";"https://open.spotify.com/track/0LUwe0PKdjLtAoq4uRIGzT?si=15f0279e9cfb4fab"
2010;"Telenor Arena";"Germany";"Lena";"Satellite";22;1;1;1;187;243;"https://youtu.be/7pL9vdpSvnY?si=Rmi5Ao2wh6zXfKUE";"https://music.apple.com/gb/album/satellite/1443256021?i=1443256022";"https://open.spotify.com/track/2UjNsh4ipNrmog6wdS2JVv?si=1f8e8f3a3a414018"
2011;"Düsseldorf Arena";"Germany";"Lena";"Taken by a Stranger";16;10;10;8;104;113;"https://youtu.be/KqZprvpWlcE?si=yLXNeM-HJhv_QrZS";"https://music.apple.com/gb/album/taken-by-a-stranger-single-version/1445743184?i=1445743188";"https://open.spotify.com/track/42JJyO1ZBaA0qL6M5gZhxg?si=85c5247baef74025"
2012;"Baku Crystal Hall";"Germany";"Roman Lob";"Standing Still";20;8;9;6;98;125;"https://youtu.be/cScJPH20P3A?si=nmQFG_38zT7cXuYe";"https://music.apple.com/gb/album/standing-still/1701137264?i=1701139878";"https://open.spotify.com/track/2kjTZx2AcLmi6tC85SDRsb?si=29156342c913470f"
2013;"Malmö Isstadion";"Germany";"Cascada";"Glorious";11;NULL;20;16;NULL;NULL;"https://youtu.be/3HYTd7WDCPg?si=lKLI0iVxIRFbVjlY";"https://music.apple.com/gb/album/glorious-video-edit/633984237?i=633984328";"https://open.spotify.com/track/1xRlV9v2HJzZvDaGKQMCuz?si=ebd301d5043f4b6a"
2014;"B&W Hallerne";"Germany";"Elaiza";"Is It Right";12;18;14;18;61;31;"https://youtu.be/BFuGH2Kp9dI?si=e5v85BDNXargr-Eq";"https://music.apple.com/gb/album/is-it-right/954520489?i=954520534";"https://open.spotify.com/track/4BxMRmdcUYW1sBHc1Nv9jo?si=d91d3f90462446ed"
2015;"Wiener Stadthalle";"Germany";"Ann Sophie";"Black Smoke";17;24;18;25;24;5;"https://youtu.be/DGMJOchTRPc?si=_VEILg8LvwPHKrp7";"https://music.apple.com/gb/album/black-smoke/1442586497?i=1442586508";"https://open.spotify.com/track/5CIcf1jodSZ7ckWIFqw1q7?si=cb68b6ff84e04013"
2016;"Globe Arena";"Germany";"Jamie-Lee";"Ghost";10;25;25;23;1;10;"https://youtu.be/bHDHi37bboE?si=Zi5qCbvrjWqPmkTE";"https://music.apple.com/gb/album/ghost/1442691290?i=1442691303";"https://open.spotify.com/track/5CWfw2pmSmF5tjRw8bItvU?si=d0a6c50c363c4cd8"
2017;"International Exhibition Centre";"Germany";"Levina";"Perfect Life";21;24;23;21;3;3;"https://youtu.be/t1KKjykH6fw?si=_8qGS8zQ0MBTsx5F";"https://music.apple.com/gb/album/perfect-life/1200752478?i=1200752626";"https://open.spotify.com/track/0UQdKxpo7uRHUs7IDuW0Nl?si=26dea9e7c7bf46ed"
2018;"Lisbon Arena";"Germany";"Michael Schulte";"You Let Me Walk Alone";11;4;4;6;204;136;"https://youtu.be/N4YwSy4Q9k0?si=SZDIG-x5KvJ1KCpW";"https://music.apple.com/gb/album/you-let-me-walk-alone/1348798190?i=1348798208";"https://open.spotify.com/track/1i31AKvYOI4b5FCU1cEHqU?si=fcb5794a5edd46a9"
2019;"Expo Tel Aviv";"Germany";"S!sters";"Sister";4;24;20;26;24;0;"https://youtu.be/yFbSj_yPCPM?si=3aJkV1b6rl_DCan1";"https://music.apple.com/gb/album/sister/1456631167?i=1456631177";"https://open.spotify.com/track/4AShR4usxlAsDxFAUMZMrM?si=b9200d8c12c04429"
2020;"Rotterdam Ahoy";"Germany";"Ben Dolic";"Violent Thing";NULL;NULL;NULL;NULL;NULL;NULL;"https://youtu.be/hAobDQ9GbT4?si=2lpvqhmWvVi1qGgH";"https://music.apple.com/gb/album/violent-thing-feat-b-ok/1499376980?i=1499376983";"https://open.spotify.com/track/5fzQRty32iF5EmMWlrwZOm?si=36cfecf8c63f4fbc"
2021;"Rotterdam Ahoy";"Germany";"Jendrik";"I Don't Feel Hate";15;24;25;22;3;0;"https://youtu.be/1m0VEAfLV4E?si=9tXSkaVE9Gi6_nJ4";"https://music.apple.com/gb/album/i-dont-feel-hate/1565989150?i=1565989157";"https://open.spotify.com/track/2wmO5hhuw4Au0IwSUGLqLh?si=11e0910dbed74a2e"
2022;"PalaOlimpico";"Germany";"Malik Harris";"Rockstars";13;24;23;20;0;6;"https://youtu.be/2BYIou-oWXA?si=_IFv4qKq26GQEVzI";"https://music.apple.com/gb/album/rockstars/1606378006?i=1606378019";"https://open.spotify.com/track/0KBS6MmhnlB2i1AjcYiDlN?si=708086141fe24293"
2023;"Liverpool Arena";"Germany";"Lord of the Lost";"Blood & Glitter";21;26;25;22;3;15;"https://youtu.be/dyGR4YWlPEs?si=Y9-vpK80Y6dkRINI";"https://music.apple.com/gb/album/blood-glitter/1682300972?i=1682301209";"https://open.spotify.com/track/6hIbzZ15fUByWthkJIQrEY?si=189f4c29a11e4575"
2024;"Malmö Isstadion";"Germany";"Isaak";"Always on the Run";3;12;10;19;99;18;"https://youtu.be/8b5gcgXcWgk?si=120y6JVlCXVQk0dL";"https://music.apple.com/gb/album/always-on-the-run/1724173767?i=1724173769";"https://open.spotify.com/track/3BJ0uXKEz9fUxCbZle1rCE?si=8e1da6134e5c4247"
