"id";"country";"artist";"song";"countryId";"runningOrder";"placed";"placedJury";"placedTelevote";"placedDiff";"totalPoints";"pointsJury";"pointsTelevote";"pointsDiff";"youtubeLink";"appleMusicLink";"spotifyLink"
30;"Norway";"Keiino";"Spirit in the Sky";13;15;6;17;1;16;331;40;291;251;"https://youtu.be/Ovt7YGHAj8I?si=cteVDfP14SrrONqw";"https://music.apple.com/gb/album/spirit-in-the-sky/1447881024?i=1447881025";"https://open.spotify.com/track/7B7O5jgFpWfc9orZw6FN4K?si=37eb039b01b94dbd"
31;"Poland";"Tulia";"Fire of Love (Pali się)";32;;;;;;;;;;"https://youtu.be/IEu0F5uobVo?si=PGLdV3ck0s-cwwXj";"https://music.apple.com/gb/album/fire-of-love-pali-si%C4%99/1455508037?i=1455508116";"https://open.spotify.com/track/39eYn0el1oFv3btrhTX74G?si=0cf7b9456c314831"
32;"Portugal";"Conan Osíris";"Telemóveis";17;;;;;;;;;;"https://youtu.be/SIGn9_yMLn4?si=XHpue65tvmSG0bqu";"https://music.apple.com/gb/album/telem%C3%B3veis/1451839387?i=1451839404";"https://open.spotify.com/track/6funCK6yFDM0YzcfxJJBcp?si=0be7225b16d8486e"
33;"Romania";"Ester Peony";"On a Sunday";33;;;;;;;;;;"https://youtu.be/cZC9o_Z90yo?si=AfKmV4Xnd9SYwAGG";"https://music.apple.com/gb/album/on-a-sunday/1573276978?i=1573277437";"https://open.spotify.com/track/67gDqPeyqOo3DKICrz5Y8Y?si=036ed42cc7464903"
34;"Russia";"Sergey Lazarev";"Scream";34;5;3;9;4;5;370;126;244;118;"https://youtu.be/eNzlxEZ_JG4?si=s4Fbtpb-X7DBEtWr";"https://music.apple.com/gb/album/scream/1455365611?i=1455365616";"https://open.spotify.com/track/3YZXQCUFSP8YffSegMm8xd?si=2164682d872d4c46"
35;"San Marino";"Serhat";"Say Na Na Na";51;7;18;22;10;12;77;12;65;53;"https://youtu.be/d_iEis_ZRoQ?si=AKTggsmFcGP6nphH";"https://music.apple.com/gb/album/say-na-na-na/1455220229?i=1455220240";"https://open.spotify.com/track/1QiX3OmiJ3AyClandLJoEj?si=4dd24f6d20ab4857"
36;"Serbia";"Nevena Božović";"Kruna";49;23;17;18;13;5;89;35;54;19;"https://youtu.be/X0mdaeAyPvA?si=EAWyLTF8sGPgY8Yb";"https://music.apple.com/gb/album/kruna/1584097419?i=1584097420";"https://open.spotify.com/track/0D0yCWxBoaQb55KN3xtvpS?si=f71ff3f6627f4b0d"
37;"Slovenia";"Zala Kralj and Gašper Šantl";"Sebi";28;10;15;15;11;4;105;46;59;13;"https://youtu.be/vGtPNQ6g6Ng?si=mYKPmaIQXYJmodkk";"https://music.apple.com/gb/album/sebi-dare-to-dream-version/1454734653?i=1454734673";"https://open.spotify.com/track/5g9mbYv5JL9AIa9lKw2EHJ?si=cf9e07e1cdbc4973"
38;"Spain";"Miki";"La venda";15;26;21;24;14;10;54;1;53;52;"https://youtu.be/lWXuohnM14U?si=yuay_Q8LtJzUsa6G";"https://music.apple.com/gb/album/la-venda-eurovision-song-contest-tel-aviv-2019/1454413067?i=1454413072";"https://open.spotify.com/track/59jqxXIgTZtx9AETvM2fsf?si=95bae78a247940f2"
39;"Sweden";"John Lundvik";"Too Late for Love";11;9;5;2;9;7;334;241;93;148;"https://youtu.be/oEdWkdVKIqQ?si=sIIEiY8OK0390bPR";"https://music.apple.com/gb/album/too-late-for-love/1461488701?i=1461488704";"https://open.spotify.com/track/6Jf8Y84YSdqeJfEPDJFEZu?si=f4ebd9cfdb7042e9"
40;"Switzerland";"Luca Hänni";"She Got Me";7;24;4;7;5;2;364;152;212;60;"https://youtu.be/8aUYzqAIdoM?si=2xwPWNMLIOk4TexK";"https://music.apple.com/gb/album/she-got-me/1454274418?i=1454274419";"https://open.spotify.com/track/6TNK1SFt77MvTFoiTloiFQ?si=e02d87fb5e514ddb"
41;"United Kingdom";"Michael Rice";"Bigger than Us";10;16;25;23;25;2;11;8;3;5;"https://youtu.be/HV-eOhTS8Dw?si=CjNNmGVaGsWT90E9";"https://music.apple.com/gb/album/bigger-than-us-eurovision-2019-united-kingdom/1459499255?i=1459499294";"https://open.spotify.com/track/1FzgkZZlbpBh75tPKso4hu?si=97ca4ad6a57544b7"
