"year","venue","country","artist","song","runningOrder","placed","placedJury","placedTelevote","pointsJury","pointsTelevote","youtubeLink","appleMusicLink","spotifyLink"
2001,"Parken Stadium","Portugal","MTM","Só sei ser feliz assim",11,17,18,15,0,18,"https://youtu.be/xbwONk0d_o8?si=VpVXtj6YUMI6gbgn","https://music.apple.com/gb/album/s%C3%B3-sei-ser-feliz-assim/194891634?i=194891648","https://open.spotify.com/track/7yfglLcSabGHzfcpB580q0?si=1ab770f7e8ff48d5"
2001,"Parken Stadium","Ireland","Gary O'Shaughnessy","Without Your Love",12,21,18,21,0,6,"https://youtu.be/1SLEkOX9ZLY?si=HRxIivJ8xjXB1fMp",NULL,NULL
2001,"Parken Stadium","Spain","David Civera","Dile que la quiero",13,6,8,6,15,61,"https://youtu.be/A5m6oQTwrNc?si=_1xFnYlWw0cMTFJj","https://music.apple.com/gb/album/dile-que-la-quiero/1171270372?i=1171270386","https://open.spotify.com/track/0so2Jlze25HJtPYZnEUMzr?si=87ac976c76ed4d73"
2001,"Parken Stadium","France","Natasha St-Pier","Je n'ai que mon âme",14,4,2,4,30,112,"https://youtu.be/L0OipASctkY?si=a59aN4JigdsL_Or1","https://music.apple.com/gb/album/je-nai-que-mon-%C3%A2me/207129085?i=207129185","https://open.spotify.com/track/10p0nLnAzyyVr4YWxaSerl?si=7f5010e76a39473b"
2001,"Parken Stadium","Turkey","Sedat Yüce","Sevgiliye Son",15,11,13,11,11,30,"https://youtu.be/PxjtZLYX7Us?si=xkWeYs_Rb6oyztUo",NULL,NULL
2001,"Parken Stadium","United Kingdom","Lindsay Dracass","No Dream Impossible",16,15,14,14,6,22,"https://youtu.be/qxrp0XzzpzY?si=7WVuTEYViPvqpS1Q","https://music.apple.com/gb/album/no-dream-impossible/1506899964?i=1506900399","https://open.spotify.com/track/4C1e3sDWIeJQCLN7bVWV9Q?si=a5c4df009fdc4373"
2001,"Parken Stadium","Slovenia","Nuša Derenda","Energy",17,7,6,7,18,52,"https://youtu.be/yzXmzCMOLQY?si=H1U4lAlUcGMtEtqA",NULL,NULL
2001,"Parken Stadium","Poland","Piasek","2 Long",18,20,18,19,0,11,"https://youtu.be/ZRp_8JXsWmU?si=3ZVvdwS51cGZlWTN",NULL,NULL
2001,"Parken Stadium","Germany","Michelle","Wer Liebe lebt",19,8,8,8,15,51,"https://youtu.be/8BYoMsX-nAs?si=aefS6_zgIywrkDXW","https://music.apple.com/gb/album/wer-liebe-lebt-grand-prix-version/724858088?i=724858517","https://open.spotify.com/track/5IM7R4kdvVPUQ2bDhm9Yvp?si=d05f7d4152854d8d"
2001,"Parken Stadium","Estonia","Tanel Padar, Dave Benton and 2XL","Everybody",20,1,1,1,35,163,"https://youtu.be/IEQa8Q9x5Ag?si=ejAef6bONbstogbx",NULL,NULL
2001,"Parken Stadium","Malta","Fabrizio Faniello","Another Summer Night",21,9,11,9,12,36,"https://youtu.be/_cYITo2AH0A?si=RbgAWnqbCr76JKD7","https://music.apple.com/gb/album/another-summer-night/1572199723?i=1572199726","https://open.spotify.com/track/2TumtigUX7Z0RCiBlFT8YL?si=8e2edbd312af4ff4"
2001,"Parken Stadium","Greece","Antique","Die for You",22,3,4,3,24,123,"https://youtu.be/H9z-Im59asU?si=f_gtoqtByzUspBxg","https://music.apple.com/gb/album/i-would-die-for-you/375834795?i=375834808","https://open.spotify.com/track/2byZAXWOqDx3w8suK3btui?si=cfd96c41561f4184"
2001,"Parken Stadium","Denmark","Rollo and King","Never Ever Let You Go",23,2,7,2,16,161,"https://youtu.be/sig2Pv-gb9g?si=LRUrT04wfgxIwJQd","https://music.apple.com/gb/album/never-ever-let-you-go/1250452265?i=1250452787","https://open.spotify.com/track/7mx6IZujrnfHLBmqcIOxIe?si=86ba587c4bb44fe1"
